chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,run_id,step,subscriber_p99_ms_median,subscriber_p99_ms_peak,system
,166.326,193.74,478.3426205501818,527.7852020012976,168.001,195.36800000000002,483.94733717888505,513.2747426695985,,,readers_1,active-readers,3.9210349787026644,4.162024008110166,0.0,53.0,0,custom-20260507T064522Z-84504b,active_readers_pgque,166.326,193.74,pgque
,170.81799999999998,180.386,477.58816827113077,525.9449380646818,172.124,181.757,476.9003247970681,507.07250402647793,,,recovery_1,clean,4.054133081808686,5.326580023393035,0.0,51.0,0,custom-20260507T064522Z-84504b,active_readers_pgque,170.81799999999998,180.386,pgque
,1649.1509999999998,1799.167,410.83405089476076,1187.3362609865967,1651.199,1801.215,0.0,510.0329073231805,,,clean_1,clean,3.991,8.167,2169.0,2606.0,0,custom-20260507T082134Z-6ac4ff,active_readers_awa_dt,1649.1509999999998,1799.167,awa
,2830.335,7249.919,276.94523581955275,1620.6979324955562,2832.383,7249.919,0.0,383.97924265811076,,,readers_1,active-readers,2.017,4.475,4417.0,9846.0,0,custom-20260507T082134Z-6ac4ff,active_readers_awa_dt,2830.335,7249.919,awa
,8290.303,10821.631,338.39764807816346,1333.2996543940317,8290.303,10829.823,0.0,0.0,,,recovery_1,clean,,,14227.0,16542.0,0,custom-20260507T082134Z-6ac4ff,active_readers_awa_dt,8290.303,10821.631,awa
,113.9855,115.324,1182.3210840156519,1252.5152364156988,115.62899999999999,116.837,1199.783745025745,1205.0702459794782,,,clean_1,clean,0.38037429420420754,0.4249696697418888,0.0,130.0,0,custom-20260507T070624Z-4cfefa,event_burst_pgque,113.9855,115.324,pgque
,119.297,190.89800000000002,1779.0103723135267,1898.2511678643314,121.284,192.161,1800.3215048120367,1860.5046768235964,,,pressure_1,high-load,0.6505940599661124,1.776914737236343,0.0,191.0,0,custom-20260507T070624Z-4cfefa,event_burst_pgque,119.297,190.89800000000002,pgque
,115.137,128.088,1184.1251118034963,1320.1669935522868,117.194,129.425,1200.48163807612,1344.4675880992672,,,recovery_1,clean,0.8147243255128463,1.3635634587934384,0.0,126.0,0,custom-20260507T070624Z-4cfefa,event_burst_pgque,115.137,128.088,pgque
,2096.127,4902.911,434.47964593202704,1569.417912380802,2099.199,4907.007,0.0,3104.361610009961,,,clean,clean,1.745,8.599,2839.0,7153.0,0,custom-20260507T083828Z-2b5473,mixed_priority_awa,2096.127,4902.911,awa
,1488.895,2676.735,621.6439220683714,1764.380685423258,1490.943,2678.783,2303.9751804273687,4352.538879133548,,,clean,clean,0.818,1.771,2276.0,3644.0,0,custom-20260507T084427Z-dd777f,starvation_awa,1488.895,2676.735,awa
,1662.975,4882.431,287.8698561970372,1160.9887673037338,1663.999,4882.431,0.0,677.4102130020227,,,clean,clean,5.193,24.367,2357.0,3068.0,0,custom-20260507T085023Z-af534a,dlq_retry_smoke_awa,1662.975,4882.431,awa
,2283.519,3553.279,252.06626822191555,981.4078904531455,2285.567,3555.327,363.52359195407064,791.6153902131621,,,clean,clean,5.855,9.823,2101.0,2668.0,0,custom-20260507T085626Z-27ee8e,dlq_terminal_awa,2283.519,3553.279,awa
