aged_completion_rate_median,aged_completion_rate_peak,cell_id,chaos_recovery_time_s,claim_p99_ms_median,claim_p99_ms_peak,completion_rate_median,completion_rate_peak,end_to_end_p99_ms_median,end_to_end_p99_ms_peak,enqueue_rate_median,enqueue_rate_peak,jobs_lost,missing,phase,phase_label,phase_type,producer_p99_ms_median,producer_p99_ms_peak,queue_depth_median,queue_depth_peak,rc,retryable_failure_rate_median,retryable_failure_rate_peak,run_dir,subscriber_p99_ms_median,subscriber_p99_ms_peak,system,worker_count
,,chaos_pg_backend_kill_absurd,,58313.0,58383.0,0.0,38.4,58314.0,58384.0,0.0,100.4,,,B,kills,pg-backend-kill,3.908328013494611,3.9760491345077753,35019.0,35019.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155524Z-4c321a,58313.0,58383.0,absurd,1
,,chaos_pg_backend_kill_absurd,,,,0.0,0.0,,,0.0,0.0,,,B,recovery,clean,,,35019.0,35019.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155524Z-4c321a,,,absurd,1
,,chaos_pg_backend_kill_oban,,15.5,16.0,245.27734378964783,247.8512892264641,,,245.07744373767582,248.05116929842094,,,B,baseline,clean,,,2.0,3.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155909Z-7365d1,,,oban,1
,,chaos_pg_backend_kill_oban,,603.0,710.0,195.20233082061998,221.46711972816308,,,195.2023108406048,221.66699980011992,,,B,kills,pg-backend-kill,,,2.0,3.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155909Z-7365d1,,,oban,1
,,chaos_pg_backend_kill_oban,,14.5,503.0,246.05236857885268,247.8512892264641,,,246.05236857885268,247.8512892264641,,,B,recovery,clean,,,2.0,2.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T155909Z-7365d1,,,oban,1
,,chaos_pg_backend_kill_pgboss,,,,,,,,,,,True,B,?,?,,,,,1,,,,,,?,1
,,chaos_pg_backend_kill_procrastinate,,261.10900000000004,496.595,247.5887935159219,308.03574277387185,,,249.18295422801083,311.6338241300884,,,B,baseline,clean,,,64.0,123.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160442Z-66438c,,,procrastinate,1
,,chaos_pg_backend_kill_procrastinate,,1163.6685,1820.635,0.0,198.4869527091728,,,348.52748936049534,368.18151726380614,,,B,kills,pg-backend-kill,,,5543.0,15328.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160442Z-66438c,,,procrastinate,1
,,chaos_pg_backend_kill_procrastinate,,0.0,0.0,0.0,0.0,,,359.69699308243554,375.22051964244383,,,B,recovery,clean,,,26916.0,36765.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160442Z-66438c,,,procrastinate,1
,,chaos_pg_backend_kill_river,,55.0,55.0,232.19927902181792,233.80435675714466,,,232.39927814498176,233.60435303023522,,,B,baseline,clean,,,7.0,10.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160825Z-fcafb7,,,river,1
,,chaos_pg_backend_kill_river,,56.0,59.0,231.38513515324718,236.19413128441997,,,231.1936940307767,236.39412631514344,,,B,kills,pg-backend-kill,,,9.0,11.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160825Z-fcafb7,,,river,1
,,chaos_pg_backend_kill_river,,55.0,56.0,234.91646428401148,239.16969700805333,,,234.8970649067626,239.16969700805333,,,B,recovery,clean,,,8.5,10.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T160825Z-fcafb7,,,river,1
,,chaos_pg_backend_kill_pgque,,112.707,113.179,599.6855089132996,610.4059662191723,114.07300000000001,114.668,600.9059195404315,601.2179182983341,,,B,baseline,clean,0.29444199365874135,0.29726261273026466,0.0,60.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161211Z-dc7c4d,112.707,113.179,pgque,1
,,chaos_pg_backend_kill_pgque,,113.43799999999999,128.845,598.0580111873408,603.6700095449788,114.8815,130.827,600.6267479298295,600.9647312886431,,,B,kills,pg-backend-kill,0.29404196732987964,0.3031034643451373,0.0,60.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161211Z-dc7c4d,113.43799999999999,128.845,pgque,1
,,chaos_pg_backend_kill_pgque,,112.748,113.013,597.8987144112361,613.0248028933066,114.15950000000001,115.01,600.7319243307008,601.0489518175,,,B,recovery,clean,0.28434870473574847,0.3043198026716709,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161211Z-dc7c4d,112.748,113.013,pgque,1
,,chaos_pg_backend_kill_pgmq,,41.0,67.0,601.6,605.2,51.0,78.0,601.6,602.0,,,B,baseline,clean,3.539809607900679,3.5644809249788523,3.5,5.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161558Z-5b4211,41.0,67.0,pgmq,1
,,chaos_pg_backend_kill_pgmq,,15041.0,30021.0,0.0,539.6,15047.0,30025.0,0.0,538.8,,,B,kills,pg-backend-kill,1.7051720060408115,3.5542920231819153,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161558Z-5b4211,15041.0,30021.0,pgmq,1
,,chaos_pg_backend_kill_pgmq,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,B,recovery,clean,0.0,0.0,0.0,0.0,0,,,/home/brian/dev/postgresql-job-queue-benchmarking/results/chaos_pg_backend_kill-20260508T161558Z-5b4211,0.0,0.0,pgmq,1
